CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
1139,FC BALANGODA,"157 , Old Road , Balangoda .",6.6668611,80.7048084,Cargills,True
1145,FC MARADANA,"585 , Maradana  Road , Maradana .",6.9327217,79.8601565,Cargills,True
1125,FC BADULLA,"18 , Dharmadutha Road, Badulla .",6.9879857,81.0595008,Cargills,True
1146,FC VAVUNIYA,"137, Kandy Road , Vauniya .",8.7497702,80.4965416,Cargills,True
1157,FC PILIMATALAWA,"178, Colombo Road , Pilimathalawa.",7.265568,80.5558208,Cargills,True
1158,FC DAMBULLA,"643, Anuradhapura Road,  Dambulla",8.3062062,80.4506242,Cargills,True
1159,FC AKURANA,"281, Matale Road , Akurana.",7.369052,80.617385,Cargills,True
1150,FC HAMBANTOTA,"Thissa Road,  Hambanthota.",6.364285,81.3199063,Cargills,True
1164,FC HATTON,"171, Dimbulla Road  ,  Hatton.",6.8941965,80.5958179,Cargills,True
1170,FC KUNDASALE,"Bamunupola Watta,  Kundasale.",7.3654715,80.6042434,Cargills,True
1169,FC TANGALLE,"No.4,Mahawela Rd,  Tangalle.",6.0243383,80.7940726,Cargills,True
1187,FC KARAPITIYA,"Namal Traders, Karapitiya.",6.0705817,80.2251603,Cargills,True
1186,FC EHELIYAGODA,"No.44, Main Street , Eheliyagoda",6.8485638,80.26001,Cargills,True
1188,FC GAMPOLA,"No.8/8, Nawalapitiya Road, Gampola.",7.104633,80.5587562,Cargills,True
1316,EX TRINCOMALEE,Linganagar Service station (MPCS),8.5768576,81.2098826,Cargills,True
1199,FC MAWANELLA,"No.22/C ,Kandy Road   Mawanella.",7.2535678,80.4476284,Cargills,True
1162,FC TRINCOMALEE,"No.190, Thirugnanasampanthan Street, Trincomalee.",8.5873638,81.2152121,Cargills,True
1278,FC KULIYAPITIYA,"No. 183 , Hettipola Road , Kuliyapitiya",7.4755064,80.0449386,Cargills,True
1279,FC BANDARAGAMA,"No. 51 , Panadura Road , Bandaragama .",6.7117325,79.9861412,Cargills,True
1281,FC PANNALA,"No. 33, Kuliyapitiya Road,  Pannala.",7.3323183,80.0278438,Cargills,True
1288,FC BATTICALOA,"No. 67, St. Anthonys Street,  Batticaloa",7.7141071,81.6961912,Cargills,True
1286,FC DHARGA TOWN,"No. 321/3,  Main Street,  Dhargatown",6.4447452,80.0168602,Cargills,True
1289,FC NAWALAPITIYA,"No. 51, Gampola Road,  Nawalapitiya.",7.115337,80.5253366,Cargills,False
1294,FC AMPARA,"Reegal Cinama ,  Nidahas Mawatha , Ampara.",7.3017563,81.6747295,Cargills,True
1291,FC DICKMANS ROAD,"No. 15, Dickmans Road , Bambalapitiya.",6.8871751,79.8611189,Cargills,True
1292,FC GRANDPASS,"No. 130/C,  Layards Broadway,  Granpass,  Colombo  14.",6.9511189,79.8740747,Cargills,True
1297,FC MONERAGALA,"No. 105, Wellawaya Road,  Monaragala",6.8716513,81.3512451,Cargills,True
