ADDRESS,BRAND,CODE,DISTRICT,LATITUDE,LOCATION,LONGITUDE
"No. 253, Negombo Road, Bandarawaththa, Seeduwa",Keels,SGSE,Gampaha,7.1231431,Seeduwa,79.8783888
"572/5, Thalawathugoda Road,Madiwela",Keels,SCTL,Colombo,6.8802431,Thalawathugoda 3,79.9475213
"185, New Kandy Road, Mawanella",Keels,SLMN,Colombo,6.9084066,Mawanella,79.9446174
"No. 927, Peradeniya Road, Kandy",Keels,SKKI,Kandy,7.2816136,Kandy 3,80.6209311
"250, Colombo Road, Negombo",Keels,SGNO,Gampaha,7.0739735,Negombo Telwatta,79.85717
"No.57, Kiriwandala, Avissawella",Keels,SCAV,Colombo,6.9409466,Avissawella,80.1963047
"356, Biyagama Road, Gonawela,Kelaniya",Keels,SGSM,Gampaha,6.9482114,Sinharamulla,79.9386028
"No.54, Hirimbura Cross Road, Karapitiya",Keels,SFK4,Galle,6.0651597,Karapitiya,80.2233789
"No. 435, Galle Road, Ambalangoda",Keels,SFAB,Galle,6.242438,Ambalangoda,80.0492057
"188, Hokandara Road, Thalawathugoda",Keels,SCHD,Colombo,6.8796442,Hokandara,79.9458337
"No. 4, Hokandara Road, Kalalgoda, Pannipitiya",Keels,SCVJ,Colombo,6.8802431,Vidyala Junction,79.9475213
"475, Udupila Road, Mawaramandiya",Keels,SGMQ,Gampaha,6.9871489,Mawaramandiya,79.977399
"1024 and 1027, Pannipitiya Road, Battharamulla",Keels,SCBT,Colombo,6.8756534,Battaramulla,79.9358023
"No. 520, Galle road, Wadduwa",Keels,SIWD,Galle,6.4190267,Wadduwa,80.0024827
"No. 89, Kandy Road, Pahala Imbulgoda, Imbulgoda",Keels,SGK5,Gampaha,7.0371109,Kirillawala,79.9917576
"No. 66, Kumarathunga Mawatha, Matara",Keels,SMMC,Matara,5.946619,Matara 3,80.5391642
"No. 78, Bandaranayake Mawatha, Katubedda",Keels,SCK6,Colombo,6.7962213,katubedda,79.8964871
"No. 59, Piliyandala road, Maharagama",Keels,SCMF,Colombo,6.8426283,Maharagama 3,79.9262647
"No. 34, Galle Road, Maha Waskaduwa ",Keels,SIWK,Kalutara,6.6099352,Kaluthara 2,79.9527322
"No. 5, Lauries Place, Colombo 4 ",Keels,SCDP,Colombo,6.8943914,Duplication Road,79.8570867
"No. 514, Maithripala Senanayake Mawatha, Anuradhapura",Keels,SAAP,Anuradhapura,8.3259528,Anuradhapura,80.4053739
"131/6, Hewagama, Kaduwela",Keels,SCKX,Colombo,6.9313808,Kaduwela,79.9766195
"308, Kotte Road, Pitakotte",Keels,SCPO,Colombo,6.8845527,Pitakotte 2,79.9019512
"No. 42, Bandaranayake Mawatha, Rathnapura",Keels,SRRR,Ratnapura,6.6810724,Rathnapura 2,80.3981326
"65/5. 1st Lane, Kandy Road, Yakkala.",Keels,SGYK,Gampaha,7.0824867,Yakkala,80.030854
"No. 141, K Cyril C Perera Mawatha, Cololmbo 13.",Keels,SCK7,Colombo,6.9532197,Kotahena 2,79.867138
"No. 14, Nawala Road, Nugegoda",Keels,SCNG,Colombo,6.8781436,Nugegoda 2,79.8906725
"No. 32, Kumarathunga Munidasa Mawatha, Cololmbo 3.",Keels,SCTU,Colombo,6.9019412,Thurstan,79.8590374
"Mahagedarawaththa, Minuwangoda Road,  Divulapitiya",Keels,SGDL,Gampaha,7.146577,Diuwalapitiya,79.9336968
"No 268, Kadawatha Road, Ganemulla",Keels,SGGE,Gampaha,7.0603059,Ganemulla,79.9627325
"No 103, Dr. N.M. Perera Mawatha, Colombo 08",Keels,SCCR,Colombo,6.9108052,Kotta Road,79.8891173
"21,  Staples  Street,  Colombo  02",Cargills,1017,Colombo,6.9202229,FC STAPLES STREET,79.855804
"3 ,  Dalada  Veedia ,  Kandy .",Cargills,1018,Kandy,7.2926093,FC KANDY,80.6370454
"Majestic  City  ,  10 , Station Road , Colombo  04",Cargills,1033,Colombo,6.8940731,FC MAJESTIC CITY,79.8546195
"7 , Welimada  Road ,  Bandarawella",Cargills,1015,Badulla,6.8311676,FC BANDARAWELA,80.9887048
"90 , Kandy  Road ,  Nuwaraeliya .",Cargills,1020,Kegalle,7.2310915,FC NUWARA ELIYA,80.2450189
"40 , York Street ,  Fort ,  Colombo  01",Cargills,1005,Colombo,6.9356673,FC FORT,79.8447204
"44 , Negombo  Road , Kurunegala .",Cargills,1076,Kurunegala,7.4884909,FC KURUNEGALA,80.3606378
"60 , Anagarika Dharmapala Mw , Matara .",Cargills,1083,Matara,5.9494158,FC MATARA,80.5447271
"315 , Negombo  Road , Wattala .",Cargills,1084,Gampaha,7.091585,FC WATTALA,79.8884605
"65 A ,  Galle  Road , Dehiwala .",Cargills,1106,Colombo,6.8512992,FC DEHIWALA,79.865918
"Municipal Commercial Complex, Nagarasaba Pedesa, Ratnapura",Cargills,1104,Ratnapura,6.7055742,FC RATNAPURA,80.3847345
"407 , Galle  Road , Colpetty .",Cargills,1105,Colombo,6.9097726,FC COLPETTY,79.8501472
"90 , Thimbirigasyaya   Road , Colombo 05",Cargills,1107,Colombo,6.8936437,EX THIMBIRIGASYAYA,79.8704269
"No. 1,  Bus Stand Site, Matara",Cargills,1201,Matara,5.9496309,EX MATARA,80.5468529
"301, Pradeepa Mawatha, Colombo 10",Cargills,1301,Colombo,6.9347204,EX MALIGAWATTE,79.8685915
"447 / 2 , Kandy  Road , Kegalla .",Cargills,1111,Kegalle,7.2532238,FC KEGALLE,80.3454101
"303 , Main  Street , Aluthgama .",Cargills,1114,Kalutara,6.4345732,FC ALUTHGAMA,80.0003875
"108 , George R. de Silva  Mw , Kotahena .",Cargills,1108,Colombo,6.9486466,FC KOTAHENA,79.859476
"98 A , New Road , Ambalangoda .",Cargills,1117,Galle,6.2441521,FC AMBALANGODA,80.0590804
"213 , Park  Road , Off Elvitigala Mw , Colombo 05",Cargills,1109,Colombo,6.8894063,FC PARK ROAD,79.8768789
"162 ,  Galle  Road , Beruwela .",Cargills,1115,Kalutara,6.4730375,FC BERUWELA,79.984256
"271 A , Katugastota  Road , Kandy .",Cargills,1113,Kandy,7.3212616,FC KATUGASTOTA,80.6275089
"97 , Kandy  Road , Warakapola",Cargills,1133,Kegalle,7.2285555,FC WARAKAPOLA,80.200415
"75, C.W.W. Kannangara Mw. Colombo 7",Cargills,1303,Colombo,6.9166038,EX ALEXANDRA PLACE,79.8649075
"99 A , King  Street , Mathale",Cargills,1124,Matale,7.467465,FC MATALE,80.6234161
"323, Havelock Rd. Coombo 6",Cargills,1305,Colombo,6.8824961,EX HAVELOCK ROAD,79.8696014
"91 ,  Ratnapura  Road , Avissawella .",Cargills,1116,Colombo,6.9503517,FC AVISSAWELLA,80.2137488
"24 & 26 ,  Gamini  Mawatha , Galle .",Cargills,1121,Galle,6.0333366,FC GALLE,80.2154182
"270 , Galle  Road , Mount Lavinia .S.T.C",Cargills,1130,Colombo,6.8948227,FC MOUNT LAVINIA STC,79.8547493
"51 , Nonagama   Road , Embilipitiya .",Cargills,1138,Ratnapura,6.3162324,FC EMBILIPITIYA,80.8433145
"248 , Main street , Anuradhapura .",Cargills,1120,Anuradhapura,8.3316899,FC ANURADHAPURA,80.4091268
