CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
1280,FC KALUTARA NORTH,"No. 264 , Galle Road,  Kaluthara North",6.926343,79.844474
1281,FC PANNALA,"No. 33, Kuliyapitiya Road,  Pannala.",7.3285371,80.0243502
1283,FC WELIWERIYA,"No. 28, New Kandy Road,  Weliweriya",7.0324549,80.0281104
1282,FC DELGODA,"No. 348, New Kandy Road,  Delgoda .",6.9799234,80.0089071
1288,FC BATTICALOA,"No. 67, St. Anthonys Street,  Batticaloa",7.7356027,81.6941956
1285,FC PANNIPITIYA,"No.1499/A, Vidyala Junction, Hokandara Rd,  Pannipitiya",6.8462,79.9448
1287,FC BOKUNDARA,"No. 201/1A,  Bokundara  , Piliyandala",6.7999,79.9249
1286,FC DHARGA TOWN,"No. 321/3,  Main Street,  Dhargatown",7.713777,81.692428
1289,FC NAWALAPITIYA,"No. 51, Gampola Road,  Nawalapitiya.",7.0554719,80.5346006
1294,FC AMPARA,"Reegal Cinama ,  Nidahas Mawatha , Ampara.",7.2978118,81.6790194
1291,FC DICKMANS ROAD,"No. 15, Dickmans Road , Bambalapitiya.",6.9023114,79.85464016
1292,FC GRANDPASS,"No. 130/C,  Layards Broadway,  Granpass,  Colombo  14.",6.9442201,79.8645632
1293,FC KESBEWA,"No. 130A,  Horana Road,   Kesbewa.",6.7870882,79.9641446
1295,FC MALABE 2,"No 162/7, Ratna Building New Kandy rd ,Weliwita Junction,  Malabe",6.9040723,79.9546189
1297,FC MONERAGALA,"No. 105, Wellawaya Road,  Monaragala",6.897752,81.3413428
1296,FC NEGOMBO 2,"No 266, Colombo Road,   Negambo.",6.101683,80.126999
1290,FC BATTARAMULLA,"No. 103, Athul Kotte road,  Battaramulla.",6.8964,79.9181
1403,FC WELISARA,"No. 768, Negombo road,   Welisara , Ragama.",7.0263493,79.9236484
1298,FC IPALOGAMA,"Ranajayapura, Ipalogama.",8.0719714,80.544784
1284,FC RAJAGIRIYA 2,"No.385/01,Sri Jayawardanapura Mw,Welikada, Rajagiriya.",6.9081,79.8871
1406,FC KOTIKAWATTA,"No.250, IDH Rd, Kotikawatta.",6.883994,79.878658
1412,FC PALMADULLA,"No.115, Rathnapura road, Pelmadulla.",6.6234343,80.5431464
1405,FC WADDUWA,"No. 527, Galle Road, Wadduwa.",6.6686,79.9253
1416,FC ETHULKOTTE,"No.906, Kotte Road, Ethul Kotte, Kotte",6.9051574,79.9055503
1417,FC JAELA 02,"No. 417, Negombo Road, Jaela",7.0744,79.8919
1414,FC YAKKALA,"No. 99, Yakkala Park, Kandy Road, Yakkala.",7.0859203,80.0335639
1415,FC MAKOLA,"No. 99 Makola South, Makola",6.9749497,79.9499272
1419,FC JAWATTA,"No 60, Jawatta Road, Thimbirigasyaya.",6.8938722,79.8670038
1411,FC DUPLICATION,"No. 450 E, R A De Mel Mawatha, Colombo 03",7.314605,81.582305
1422,FC MANIPPAY,"No. 120 Jaffna Road, Manipay.",9.7211058,80.0235894
1421,FC THIHARIYA,"No.122/1 Parakumbamahal, Thihariya, Kalagedihena",7.1264859,80.0705602
1320,EX ROYALPARK,"No.115, Lake Drive, Rajagiriya",6.9054246,79.8850576
1432,FC KANNATHTHIDI,"No. 54, Kannathiddy Road, Jaffna",9.6713549,80.0115791
1418,FC KALAPALUWAWA,"No. 21/8 Buthgamuwa Road, Kalapaluwawa, Rajagiriya",6.9162003,79.9097094
1423,FC BANDARAWATTE,"No. 160/9A, New Kandy Road, Bandarawatte, Biyagama.",6.965946,79.976701
1425,FC AKKARAIPATHTHU,"No.143/B 1, Kalmunai road, Akkaraipattru.",6.942199,80.775818
1424,FC KALMUNEI,No. 1034/1 Kalmunai 14,7.4187031,81.8124103
1433,FC NORRIS CANAL,"No. 25,   Norris Canal Road , Colombo 10",6.921012,79.866131
1323,EX TRILLIUM RESIDENCE,"No. 153, Elvitigala Mawatha, Colombo 08",6.821061,79.961815
1428,FC WARIYAPOLA,"No. 107, Kurunegala Road, Wariyapola.",7.591524,80.2721784
1426,FC DANKOTUWA,"No. 35\37, Natthandiya Road, Dankotuwa.",7.2974892,79.8821873
1321,EX KURUWITA,"No 96, Main Road, Kuruwita,",6.7761011,80.3668957
1322,EX RUWANWELLA,"No.114, Main Street, Ruwanwella.",7.0458636,80.2537792
1319,EX DIGANA,"Methsiripaya, New Town, Rajawella, Digana.",7.2968144,80.7308585
1434,FC KADURUWELLA,"No. 896, Batticaloa Road, Kaduruwela",7.93333,81.03333
1431,FC KILINOCHCHI,"No. 7-10 Anthoneypillai Building, Karadibokku, Kilinochchi.",9.3770186,80.3354047
1327,EX SUWARAPOLA,"No. 428, Moratuwa Rd, Suwarapola, Piliyandala.",6.7978132,79.9114488
1328,EX HABARAKADA,"No. 575/14 Borella Road, Habarakada, Homagama.",6.8656803,80.0134781
1326,EX KOTIYAKUBURA,"No. 146, Ruwanwella Road, Kotiyakumbura.",7.1310747,80.2860286
1329,EX NEDIMALA,"No. 65 C, Pepiliyana Road, Nedimala, Dehiwala.",6.852087,79.881942
1420,FC MANCHANTHODUWAI,"No. 488 New Kalmunai Road, Manchanthoduwaii",7.705535,81.714182
1435,FC WELIMADA,"No. 11 Boralanda Road, Welimada",6.865889,80.882922
