CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
1459,FC AKURESSA,"No.83 Matara Road,Akuressa",5.9682934,80.3722812,Cargills,False
1467,FC GATAMBE,"No.496, Gatambe, Peradeniya.",7.271285,80.5979973,Cargills,True
1379,EX GINIGATHHENA,"No.120/1 ,Nawalapitiya Road,Ginigathhena",7.0549359,80.5343204,Cargills,False
1357,EX AMPITIYA,"No. 63 Kandy Road,Ampitiya.",7.2922664,80.6320435,Cargills,False
1469,FC WELIGAMA,"No. 454,Old Galle Road,Weligama.",5.9773782,80.4288487,Cargills,True
1370,EX HIKKADUWA,"No. 162 Galle Road,Hikkaduwa",6.1431515,80.0996329,Cargills,False
1372,EX DERANIYAGALA,"No. 58, Dehiowita Road,Deraniyagala",6.9349198,80.3380213,Cargills,True
1366,EX HABARADUWA,"Dassana Building,Galle Road,Habaraduwa.",6.0164711,80.2487968,Cargills,False
1381,EX HABARANA,"No. 72,Trincomalee  Road,Habarana.",7.7163769,81.6986759,Cargills,False
1371,EX WATTEGAMA,"No. 31, Matale Road, Wattegama",7.3651474,80.6168886,Cargills,False
1148,FC JAFFNA,"No.420, Hospital Road,Jaffna.",9.6651936,80.0137541,Cargills,True
1471,FC COTA ROAD,"No. 260, N.M Perera Mawatha, Cota Road, Colombo 08",6.913648,79.8827858,Cargills,False
1377,EX IBBAGAMUWA,"No. 5, Dambulla Road, Ibbagamuwa.",7.7170964,80.5504311,Cargills,False
1470,FC WELLAWAYA,"No. 32 Hambanthota Road,Wellawaya.",6.1183591,81.0697335,Cargills,False
1368,EX GODAKAWELA,"Main Street, Godakawela.",6.504906,80.6521139,Cargills,True
1383,EX MADAWACHCHIYA,"No. 102, Jaffna Road,Medawachchiya.",8.3924924,80.4408805,Cargills,False
1360,EX GELIOYA,"No,35/D, Peradeniya Road,Gelioya.",7.2816136,80.6209311,Cargills,False
1386,EX RAMBUKKANA,"No 57, Mawanella Road,Rambukkana.",7.2528432,80.4465493,Cargills,False
1385,EX DENIYAYA,No. 04 Pallegama Road Deniyaya.,6.3159694,80.5171662,Cargills,False
1475,FC MATHUGAMA,"No. 93, Kalutara Road,Mathugama",6.5223394,80.1121459,Cargills,False
1387,EX KATUGODA,"No. 1/389, Matara Road,Katugoda, Galle",6.0340143,80.2354549,Cargills,True
1484,FC MARINE CITY,"No 46, Station Road,Dehiwala.",6.8509257,79.8626531,Cargills,False
1481,FC MATALE2,"No. 666,Trincomalee street,Matale",7.3027377,80.6358927,Cargills,False
1394,EX GALAGEDARA,"No. 200/C Hospital Junction, Galagedara.",7.3699683,80.5327324,Cargills,True
1393,EX MULLAITTIVE,"No 197, P.W.D.Road , Mullathiv",22.6524214,88.3758803,Cargills,False
1717,EX POOJAPITIYA,"No 6/1/C, Owissa Road, Poojapitiya.",7.3792131,80.5910567,Cargills,True
1726,EX ANAMADUWA,"No 106, Puttalama Road, Anamaduwa.",7.8799403,80.0086588,Cargills,True
1727,EX MAGGONA,"No. 396/5, Galle Road, Maggona",6.472375,79.9845026,Cargills,True
1728,EX ASCON RESIDENCE,"No. 608-1/35, Dr. Danister de Silva Mawatha, Dematagoda.",6.9379638,79.878569,Cargills,True
1724,EX NELUWA,"No. 10, Sawijaya Building, Dellawa Road, Galle.",6.3669453,80.4002941,Cargills,False
1490,FC NARAMMALA,"No. 161, Negombo Road,Narammala.",7.4272644,80.2140722,Cargills,True
1718,EX AHANGAMA,"No.55/A,Galle Road, Piyadigama, Ahangama.",6.4190267,80.0024827,Cargills,False
1735,EX MALKADUWAWA,"FOOD CITY  EXPRESS â€“MALKADUWAWA,Molawatta, Malkaduwawa,Kurunegala.",7.4740428,80.3421984,Cargills,False
1739,EX MAKULUDUWA,"No 16 B,Makuluduwa,Piliyandala.",6.815868,79.9265931,Cargills,True
1736,EX KATARAGAMA,"No 53/1/1/2, Sella Road, Kataragama.",6.4135463,81.3325679,Cargills,False
1741,EX MANNAR,"No Road 01 ,Pallimulei Mannar",8.9809743,79.9044149,Cargills,True
1738,EX KALMUNAI,"Cargills Food City, Saindhamaruthu, Kalmunai",7.4137924,81.8272433,Cargills,True
1743,EX KEKIRAWA,"No 15, Malawa Village,Central Road, Kekirawa",8.042103,80.593833,Cargills,True
1745,EX RAHULA JUNCTION,"No. 39,Perera MW,Buthgamuwa Rd,Rajagiriya",6.9142024,79.9050221,Cargills,True
1746,EX MALIGAWATTE2,"No.227, Saddharma Mawatha, Maligawatte, Colombo 10",6.9386902,79.8747583,Cargills,True
1749,EX ALADENIYA,"No. 418/A, Kurunegala Road,Aladeniya,Werallagama â€“ Kandy.",7.330693,80.5688428,Cargills,False
1550,FC MATARA 02,"No. 28,37 ,Araliya Mawatha ,Kotuwegoda ,Matara.",5.9441958,80.5547718,Cargills,False
1559,FC ANURADHAPURA 02,"No.46 Maithreepala Senanayeke Mawathe,Anuradapura",8.3192025,80.3990352,Cargills,False
